시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
초등학교,남도초등학교,대구광역시 남구 현충동길 74(대명동),대구광역시 남구 대명동 1709,35.8450271854,128.5814016425,대구광역시,남부경찰서,Y,7.0,6~8,2020-03-23
초등학교,영선초등학교,대구광역시 남구 영선길96(이천동),대구광역시 남구 이천동 477,35.8529010075,128.5960142233,대구광역시,남부경찰서,Y,8.0,6~10,2020-03-23
초등학교,성명초등학교,대구광역시 남구 성당로 30길 55(대명동),대구광역시 남구 대명동 3050,35.84515216,128.5708254,대구광역시,남부경찰서,Y,14.0,8~12,2020-03-23
초등학교,남덕초등학교,대구광역시 남구 앞산순환로 93길 33,대구광역시 남구 대명동 531-1,35.83304211,128.5739489212,대구광역시,남부경찰서,Y,6.0,6~8,2020-03-23
초등학교,대명초등학교,대구광역시 남구 대명로 110,대구광역시 남구 대명동 960,35.8388687716,128.5688886063,대구광역시,남부경찰서,Y,5.0,6~10,2020-03-23
초등학교,대봉초등학교,대구광역시 남구 대봉로 26길 33(이천동),대구광역시 남구 이천동 253-2,35.85166437,128.6048051,대구광역시,남부경찰서,Y,6.0,8~17,2020-03-23
초등학교,남명초등학교,대구광역시 남구 큰골4길 41,대구광역시 남구 대명동 483,35.8343637,128.5819826,대구광역시,남부경찰서,Y,7.0,8~15,2020-03-23
초등학교,봉덕초등학교,대구광역시 남구 효성로 71(봉덕동),대구광역시 남구 봉덕동 1319,35.83968058,128.5968435,대구광역시,남부경찰서,Y,8.0,8~15,2020-03-23
초등학교,남대구초등학교,대구광역시 남구 중앙대로47길 55,대구광역시 남구 대명동 1820-5,35.85355805,128.5864853,대구광역시,남부경찰서,Y,9.0,6~8,2020-03-23
초등학교,대덕초등학교,대구광역시 남구 대명서로 28(대명동),대구광역시 남구 대명동 1571-1,35.8304316,128.561677,대구광역시,남부경찰서,Y,10.0,8~15,2020-03-23
초등학교,효명초등학교,대구광역시 남구 앞산순환로 707,대구광역시 남구 봉덕동 1164,35.83464799,128.6010893,대구광역시,남부경찰서,Y,5.0,10~25,2020-03-23
유치원,계명유치원,대구광역시 남구 명덕로 20길 24(대명동),대구광역시 남구 대명동 2542-30,35.85645873,128.5793986,대구광역시,남부경찰서,Y,4.0,8,2020-03-23
유치원,해바라기유치원,대구광역시 남구 대명로 250,대구광역시 남구 대명동 359-1,35.84196926,128.5841748,대구광역시,남부경찰서,Y,4.0,30,2020-03-23
유치원,경북유치원,대구광역시 남구 중앙대로 40길 10,대구광역시 남구 대명동 1985-57,35.849925335,128.591265899,대구광역시,남부경찰서,Y,2.0,6~8,2020-03-23
유치원,반야유치원,대구광역시 남구 장전 1길 92,대구광역시 남구 대명동 804-3,35.84023286,128.5760702,대구광역시,남부경찰서,Y,4.0,8,2020-03-23
유치원,참좋은유치원,대구광역시 남구 중앙대로 126,대구광역시 남구 봉덕동 1031-20,35.84435136,128.5910004,대구광역시,남부경찰서,Y,4.0,40,2020-03-23
유치원,룸비니유치원,대구광역시 남구 대명남로 140,대구광역시 남구 대명동 627-5,35.83497147,128.5737032781,대구광역시,남부경찰서,Y,4.0,6~20,2020-03-23
유치원,대구프뢰벨유치원,대구광역시 남구 앞산순환로 467,대구광역시 남구 대명동 540-2,35.83248149,128.5760583,대구광역시,남부경찰서,Y,2.0,,2020-03-23
어린이집,화랑어린이집,대구광역시 남구 두류공원로 13길 27-5(대명동),대구광역시 남구 대명동 1010,35.84257212,128.569401,대구광역시,남부경찰서,Y,6.0,6~15,2020-03-23
어린이집,호동어린이집,대구광역시 남구 희망로 5길 19(이천동),대구광역시 남구 이천동 752-1,35.84884861,128.600145,대구광역시,남부경찰서,Y,3.0,10~15,2020-03-23
어린이집,가톨릭소화어린이집,대구광역시 남구 현충로 39길 74(대명동),대구광역시 남구 대명동 3001-17,35.85011603,128.5769832,대구광역시,남부경찰서,Y,4.0,6~8,2020-03-23
어린이집,박애어린이집,대구광역시 남구 대명서 2길 45(대명동),대구광역시 남구 대명동 1564-2,35.8319927865,128.5626800777,대구광역시,남부경찰서,Y,3.0,8,2020-03-23
어린이집,청동어린이집,대구광역시 남구 이천로 28길 42-33(이천동),대구광역시 남구 이천동 318-1,35.8535976237,128.6000086543,대구광역시,남부경찰서,Y,3.0,6,2020-03-23
어린이집,보물섬어린이집,대구광역시 남구 대명로 49길 9-5(대명동),대구광역시 남구 대명동 1698-11,35.84228388,128.5824945,대구광역시,남부경찰서,Y,2.0,8,2020-03-23
어린이집,동학어린이집,대구광역시 남구 자유 5길 16(대명동),대구광역시 남구 대명동 380-4,35.83750833,128.5840424,대구광역시,남부경찰서,Y,2.0,6~8,2020-03-23
어린이집,남도어린이집,대구광역시 남구 장전 3길 132(대명동),대구광역시 남구 대명동 1668-8,35.84234083,128.5781777,대구광역시,남부경찰서,Y,3.0,6~8,2020-03-23
어린이집,해달별어린이집,대구광역시 남구 대명서로 47-2(대명동),대구광역시 남구 대명동 1579-11,35.83078021,128.5603734,대구광역시,남부경찰서,Y,1.0,6,2020-03-23
어린이집,해맑은꼬마또래어린이집,대구광역시 남구 효동길 85,대구광역시 남구 봉덕동 1283-5,35.836342356,128.6011007087,대구광역시,남부경찰서,Y,2.0,10,2020-03-23
어린이집,꼬마또래어린이집,대구광역시 남구 효동2길 16,대구광역시 남구 봉덕동 1283-13,35.83768718,128.600747,대구광역시,남부경찰서,Y,1.0,10,2020-03-23
특수학교,광명학교,대구광역시 남구 성당로50길 33(대명동),대구광역시 남구 대명동 2288,35.85594776,128.575077,대구광역시,남부경찰서,Y,1.0,6~8,2020-03-23
특수학교,영화학교,대구광역시 남구 성당로50길 33(대명동),대구광역시 남구 대명동 2288,35.85594776,128.575077,대구광역시,남부경찰서,Y,1.0,6~8,2020-03-23
특수학교,보명학교,대구광역시 남구 성당로50길 33(대명동),대구광역시 남구 대명동 2288,35.85594776,128.575077,대구광역시,남부경찰서,Y,1.0,6~8,2020-03-23
특수학교,보건학교,대구광역시 남구 성당로50길 33(대명동),대구광역시 남구 대명동 2288,35.85594776,128.575077,대구광역시,남부경찰서,Y,1.0,6~8,2020-03-23
특수학교,덕희학교,대구광역시 남구 성당로50길 33(대명동),대구광역시 남구 대명동 2288,35.85594776,128.575077,대구광역시,남부경찰서,Y,1.0,6~8,2020-03-23
유치원,경상유치원,대구광역시 남구 현충로48길 31-8,대구광역시 남구 대명동 1819-11,35.8532170905,128.5854639,대구광역시,남부경찰서,Y,2.0,6~12,2020-03-23
유치원,드림유치원,대구광역시 남구 대봉로30길36-8,대구광역시 남구 이천동 272-2,35.85170781,128.6051265,대구광역시,남부경찰서,Y,1.0,8,2020-03-23
어린이집,더플로우 어린이집,대구광역시 남구 대봉로30길40,대구광역시 남구 이천동 278-3,35.85214855,128.605307,대구광역시,남부경찰서,Y,1.0,8,2020-03-23
유치원,아이린유치원,대구광역시 남구 효동길 14-4,대구광역시 남구 봉덕동 1293-60,35.8396277519,128.5996261874,대구광역시,남부경찰서,Y,8.0,8~12,2020-03-23
어린이집,참좋은 어린이집,대구광역시 남구 중앙대로 126,대구광역시 남구 봉덕동 1301-20,35.84435136,128.5910004,대구광역시,남부경찰서,Y,1.0,40,2020-03-23
유치원,아름그루 유치원,대구광역시 남구 효동길 91,대구광역시 남구 봉덕동 1283-5,35.83634242,128.6011021,대구광역시,남부경찰서,Y,5.0,6~8,2020-03-23
유치원,가창초교병설,대구광역시 달성군 가창면 가창로 640,대구광역시 달성군 가창면 냉천리 815-1,35.771063,128.648248,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,구지초교병설,대구광역시 달성군 구지면 창리로11길 45-11,대구광역시 달성군 구지면 창리 385,35.66021121,128.4125566,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,금계초교병설,대구광역시 달성군 옥포면 금계길 55,대구광역시 달성군 옥포면 교향리 1503,35.788698,128.444101,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,금포초교병설,대구광역시 달성군 논공읍 금포초등길 28,대구광역시 달성군 논공읍 금포리 1496,35.774489,128.426084,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,논공읍초교병설,대구광역시 달성군 논공읍 논공로7길 41,대구광역시 달성군 논공읍 남리 328,35.731127,128.437407,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,늘푸른유치원,대구광역시 달성군 화원읍 명곡로 4,대구광역시 달성군 화원읍 명곡리 102,35.799405,128.4956301,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,다사읍초교병설,대구광역시 달성군 다사읍 다사로 86,대구광역시 달성군 다사읍 매곡리 457,35.869034,128.458637,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,대자연유치원,대구광역시 달성군 다사읍 서재본1길 13-8,대구광역시 달성군 다사읍 서재리 197,35.87343349,128.495112,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,도림초교병설,대구광역시 달성군 다사읍 서재로26길 94,대구광역시 달성군 다사읍 서재리 32,35.877954,128.499701,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,동곡초등학교병설,대구광역시 달성군 하빈면 달구벌대로55길 104-4,대구광역시 달성군 하빈면 동곡리 142,35.879143,128.417829,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,매곡초교병설,대구광역시 달성군 다사읍 대실역북로3길 6,대구광역시 달성군 다사읍 매곡리 1536,35.862194,128.468533,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,반송초교병설,대구광역시 달성군 옥포면 용연사길 5,대구광역시 달성군 옥포면 반송리 151,35.756709,128.494687,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,골든벨유치원(새순->예정),대구광역시 달성군 화원읍 비슬로 2614-6,대구광역시 달성군 화원읍 천내리 458,35.80442127,128.5024469,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,서재초교병설,대구광역시 달성군 다사읍 서재로 53,대구광역시 달성군 다사읍 서재리 252,35.868848,128.495087,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,서재성모유치원,대구광역시 달성군 다사읍 서재로20길 28,대구광역시 달성군 다사읍 서재리 361,35.87048758,128.5001017,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,세종유치원(성림),대구광역시 달성군 다사읍 다사로 25,대구광역시 달성군 다사읍 죽곡리 1-8,35.862833,128.460159,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,숲속예은유치원,대구광역시 달성군 다사읍 죽곡2길 35,대구광역시 달성군 다사읍 죽곡리 359,35.855402,128.462566,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,신솔정유치원,대구광역시 달성군 옥포면 비슬로455길 24,대구광역시 달성군 옥포면 간경리 949-1,35.791591,128.4687533,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,신영유치원,대구광역시 달성군 논공읍 논공로17길 14,대구광역시 달성군 논공읍 북리 803-313,35.729598,128.443013,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,이튼어린이집,대구광역시 달성군 논공읍 논공로17길 16-8,대구광역시 달성군 논공읍 북리 803-78,35.729671,128.443221,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,옥포초교병설,대구광역시 달성군 옥포면 비슬로 2220,대구광역시 달성군 옥포면 본리리 801,35.787451,128.464571,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,왕선초교병설,대구광역시 달성군 다사읍 대실역북로 93,대구광역시 달성군 다사읍 매곡리 1542,35.863211,128.465328,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,용계초교병설,대구광역시 달성군 가창면 가창로221길 1,대구광역시 달성군 가창면 용계리 7,35.804564,128.621793,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,유가초교병설,대구광역시 달성군 유가읍 유가길 46,대구광역시 달성군 유가읍 유곡리 978,35.6702384856,128.454796,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,장원유치원,대구광역시 달성군 현풍면 현풍동로 49,대구광역시 달성군 현풍면 중리 103-1,35.694948,128.450482,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,죽곡초교병설,대구광역시 달성군 다사읍 죽곡1길 18,대구광역시 달성군 다사읍 죽곡리 189,35.856574,128.463127,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,하빈면초교병설,대구광역시 달성군 하빈면 하빈로 391-1,대구광역시 달성군 하빈면 현내리 855-3,35.901558,128.442153,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,현풍초교병설,대구광역시 달성군 현풍면 비슬로134길 167-6,대구광역시 달성군 현풍면 상리 539-1,35.697879,128.4482704,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,화원꽃들유치원(공립),대구광역시 달성군 화원읍 성암로 38,대구광역시 달성군 화원읍 본리리 104-1,35.799758,128.509615,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,화원유치원,대구광역시 달성군 화원읍 비슬로525길 46,대구광역시 달성군 화원읍 천내리 120,35.808351,128.501091,대구광역시 달성군청,달성경찰서,Y,2.0,,2019-09-10
유치원,화원큰별유치원,대구광역시 달성군 화원읍 성화로 87,대구광역시 달성군 화원읍 설화리 496-3,35.798819,128.484378,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,가창초등,대구광역시 달성군 가창면 가창로 640,대구광역시 달성군 가창면 냉천리 815-1,35.771063,128.648248,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,구지초등,대구광역시 달성군 구지면 창리로11길 45-11,대구광역시 달성군 구지면 창리 385,35.66021121,128.4125566,대구광역시 달성군청,달성경찰서,Y,2.0,,2019-09-10
초등학교,금계초등,대구광역시 달성군 옥포면 금계길 55,대구광역시 달성군 옥포면 교향리 1503,35.788698,128.444101,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,금포초등,대구광역시 달성군 논공읍 금포초등길 28,대구광역시 달성군 논공읍 금포리 1496,35.774489,128.426084,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,남동초등,대구광역시 달성군 논공읍 논공로 258,대구광역시 달성군 논공읍 남리 717-5,35.72463835,128.4564671,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,논공읍초등,대구광역시 달성군 논공읍 논공로7길 41,대구광역시 달성군 논공읍 남리 328,35.731127,128.437407,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,다사읍초등,대구광역시 달성군 다사읍 다사로 86,대구광역시 달성군 다사읍 매곡리 457,35.869034,128.458637,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,도림초등,대구광역시 달성군 다사읍 서재로26길 94,대구광역시 달성군 다사읍 서재리 32,35.877954,128.499701,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,동곡초등,대구광역시 달성군 하빈면 달구벌대로55길 104-4,대구광역시 달성군 하빈면 동곡리 142,35.879143,128.417829,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,매곡초등,대구광역시 달성군 다사읍 대실역북로3길 6,대구광역시 달성군 다사읍 매곡리 1536,35.862194,128.468533,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,명곡초등,대구광역시 달성군 화원읍 명곡로 40,대구광역시 달성군 화원읍 명곡리 132,35.796637,128.496182,대구광역시 달성군청,달성경찰서,Y,2.0,,2019-09-10
초등학교,반송초등,대구광역시 달성군 옥포면 용연사길 5,대구광역시 달성군 옥포면 반송리 151,35.756709,128.494687,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,북동초등,대구광역시 달성군 논공읍 논공로11길 18,대구광역시 달성군 논공읍 남리 1119,35.729465,128.440646,대구광역시 달성군청,달성경찰서,Y,2.0,,2019-09-10
초등학교,서재초등,대구광역시 달성군 옥포면 비슬로 2220,대구광역시 달성군 옥포면 본리리 801,35.7874518,128.4645718,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,옥포초등,대구광역시 달성군 옥포면 비슬로 2220,대구광역시 달성군 옥포면 본리리 801,35.787451,128.464571,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,왕선초등,대구광역시 달성군 다사읍 대실역북로 93,대구광역시 달성군 다사읍 매곡리 1542,35.863211,128.465328,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,용계초등,대구광역시 달성군 가창면 가창로221길 1,대구광역시 달성군 가창면 용계리 7,35.804564,128.621793,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,유가초등,대구광역시 달성군 유가읍 유가길 46,대구광역시 달성군 유가읍 유곡리 978,35.6702384856,128.454796,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,죽곡초등,대구광역시 달성군 다사읍 죽곡1길 18,대구광역시 달성군 다사읍 죽곡리 189,35.856574,128.463127,대구광역시 달성군청,달성경찰서,Y,2.0,,2019-09-10
초등학교,천내초등,대구광역시 달성군 화원읍 성천로 192,대구광역시 달성군 화원읍 구라리 1553,35.8094091,128.5020282,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,하빈면초등,대구광역시 달성군 하빈면 하빈로 391-1,대구광역시 달성군 하빈면 현내리 855-3,35.9015587,128.4421533,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,현풍초등,대구광역시 달성군 현풍면 비슬로134길 167-6,대구광역시 달성군 현풍면 상리 539-1,35.6978796,128.4482704,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,화남초등,대구광역시 달성군 화원읍 명천로 181,대구광역시 달성군 화원읍 명곡리 113,35.799749,128.498164,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,화동초등,대구광역시 달성군 화원읍 성암로 38,대구광역시 달성군 화원읍 본리리 104-1,35.799758,128.509615,대구광역시 달성군청,달성경찰서,Y,3.0,,2019-09-10
초등학교,화원초등,대구광역시 달성군 화원읍 비슬로 2580,대구광역시 달성군 화원읍 천내리 417,35.803331,128.499624,대구광역시 달성군청,달성경찰서,Y,2.0,,2019-09-10
유치원,해맑은유치원,대구광역시 달성군 다사읍 왕선로 41,대구광역시 달성군 다사읍 매곡리 1544-1,35.863187,128.464171,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,꿈이있는숲속유치원,대구광역시 달성군 다사읍 다사로 64,대구광역시 달성군 다사읍 매곡리 484-3,35.866335,128.459456,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,자연숲유치원,대구광역시 달성군 현풍면 현풍동로20길 12,대구광역시 달성군 현풍면 상리 622-5,35.699645,128.451259,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,키즈랜드어린이집,대구광역시 달성군 다사읍 다사로4길 25,대구광역시 달성군 다사읍 매곡리 302-2,35.863611,128.463371,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,자연과학어린이집,대구광역시 달성군 현풍면 현풍동로25길 17,대구광역시 달성군 현풍면 상리 534-2,35.6986101,128.448427,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,하늘숲유치원,대구광역시 달성군 화원읍 비슬로539길 11-11,대구광역시 달성군 화원읍 구라리 1685,35.809621,128.507209,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,아이엠어린이집,대구광역시 달성군 다사읍 다사로 103-8,대구광역시 달성군 다사읍 매곡리 439-1,35.869477,128.456878,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,천내어린이집,대구광역시 달성군 화원읍 화원로7길 55,대구광역시 달성군 화원읍 천내리 188-4,35.805746,128.496527,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,죽곡어린이집,대구광역시 달성군 달구벌대로174길17-5,대구광역시 달성군 다사읍 죽곡리 197,35.857921,128.462075,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,드림아이유치원,대구광역시 달성군 다사읍 매곡로 92,대구광역시 달성군 다사읍 매곡리 535-7,35.8645235,128.4551201,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,백설어린이집,대구광역시 달성군 화원읍 비슬로502길14,대구광역시 달성군 화원읍 명곡리 229-4,35.799001,128.492093,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,화남어린이집,대구광역시 달성군 다사읍 달구벌대로174길 26,대구광역시 달성군 다사읍 죽곡리 124,35.85843298,128.461267,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,옥스포드어린이집,대구광역시 달성군 화원읍 비슬로512길 44,대구광역시 달성군 화원읍 천내리 379-1,35.8018091,128.4983403,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,혜민어린이집,대구광역시 달성군 화원읍 인흥길 29,대구광역시 달성군 화원읍 천내리 901-58,35.8012445,128.4984352,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,소호어린이집,대구광역시 달성군 화원읍 비슬로528길4,대구광역시 달성군 화원읍 본리리 16,35.8052988,128.5048836,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,세계어린이집,대구광역시 달성군 화원읍 비슬로500길10,대구광역시 달성군 화원읍 명곡리 215-5,35.7987716,128.4911166,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,논공읍어린이집,대구광역시 달성군 논공읍 논공로23길6-15,대구광역시 달성군 논공읍 북리 803-168,35.730208,128.447118,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,스탠포드어린이집,대구광역시 달성군 논공읍 논공로5길198,대구광역시 달성군 논공읍 북리 803-160,35.730141,128.446568,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,달성어린이집(139명),대구광역시 달성군 현풍면 현풍중앙로10길74,대구광역시 달성군 현풍면 중리 146,35.695809,128.449016,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
어린이집,현풍아이세상어린이집(114명),대구광역시 달성군 현풍면 현풍중앙로10길64,대구광역시 달성군 현풍면 중리 158,35.695395,128.448979,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,서재아이숲유치원,대구광역시 달성군 다사읍 서재본길 41,대구광역시 달성군 다사읍 서재리 526,35.8721248,128.4922942,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,안드레아유치원,대구광역시 달성군 현풍면 현풍동로 10,대구광역시 달성군 현풍면 중리 323,35.692123,128.447951,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,대영유치원(논공읍대영),대구광역시 달성군 논공읍 논공중앙로22길 47,대구광역시 달성군 논공읍 남리 617-9,35.72369463,128.4498412,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,강림초등학교,대구광역시 달성군 옥포면 돌미로 15,대구광역시 달성군 옥포면 강림리 1106,35.7813088,128.4365696,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,옥빛유치원,대구광역시 달성군 옥포면 돌미로2서길 20,대구광역시 달성군 옥포면 강림리 1216,35.77889535,128.4364839,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,세천초등학교,대구광역시 달성군 다사읍 세천로 182-9,대구광역시 달성군 다사읍 세천리 1586,35.87434869,128.4814713,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
유치원,세천유치원,대구광역시 달성군 다사읍 세천로 182-11,대구광역시 달성군 다사읍 세천리 1586,35.87386895,128.4812055,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
초등학교,대실초등학교,대구광역시 달성군 다사읍 대실역남로1길 31,대구광역시 달성군 다사읍 죽곡리 820,35.85308934,128.4678988,대구광역시 달성군청,달성경찰서,N,0.0,,2019-09-10
