구,법정동,주차구획수,급지구분
남구,봉덕동,62,1
남구,봉덕동,36,1
남구,대명동,31,1
남구,봉덕동,88,2
남구,봉덕동,32,1
남구,대명동,98,1
남구,대명동,53,1
남구,대명동,61,1
남구,대명동,43,1
남구,대명동,48,1
남구,대명동,23,1
남구,대명동,35,1
남구,대명동,83,1
남구,대명동,10,1
남구,대명동,20,1
남구,봉덕동,12,1
남구,봉덕동,37,1
남구,대명동,12,1
남구,대명동,22,1
남구,봉덕동,5,1
남구,대명동,19,1
남구,대명동,24,1
남구,이천동,28,1
남구,봉덕동,24,1
남구,봉덕동,43,1
남구,봉덕동,79,1
남구,봉덕동,17,2
남구,봉덕동,92,2
남구,이천동,5,1
남구,대명동,27,1
남구,대명동,32,2
남구,이천동,10,1
남구,대명동,11,1
달서구,상인동,87,2
달서구,두류동,33,3
달서구,상인동,276,3
달서구,용산동,71,2
달서구,용산동,83,2
달서구,장기동,26,2
달서구,본리동,58,2
달서구,본리동,62,2
달서구,진천동,45,3
달서구,진천동,184,3
달서구,도원동,11,3
달서구,장기동,204,2
달서구,호림동,215,3
달서구,호림동,341,3
달서구,호산동,207,3
달서구,본동,33,3
달서구,신당동,14,3
달서구,장기동,19,3
달서구,상인동,195,3
달서구,상인동,11,3
달서구,송현동,10,3
달서구,상인동,70,3
달서구,감삼동,30,3
달서구,성당동,30,3
달서구,본리동,44,3
달서구,송현동,27,3
달서구,용산동,76,3
달서구,두류동,40,3
달서구,도원동,184,3
달서구,송현동,17,3
달서구,신당동,32,3
달서구,상인동,62,3
달서구,감삼동,26,3
달서구,두류동,37,3
달서구,두류동,23,3
달서구,죽전동,23,3
달서구,상인동,157,2
달서구,감삼동,40,3
달서구,본동,11,3
달서구,용산동,20,3
달서구,송현동,26,3
달서구,송현동,42,3
달서구,상인동,47,3
달서구,용산동,35,3
달서구,본리동,103,2
달서구,진천동,23,3
달서구,죽전동,12,2
달서구,이곡동,22,3
달서구,이곡동,10,3
달서구,이곡동,64,3
달서구,갈산동,144,3
달서구,감삼동,4,2
달서구,감삼동,2,2
달서구,감삼동,19,2
달서구,감삼동,18,2
달서구,감삼동,9,2
달서구,성당동,13,2
달서구,신당동,26,2
달서구,상인동,20,2
달서구,상인동,18,2
달서구,월성동,32,2
달서구,송현동,18,2
달서구,죽전동,17,2
달서구,죽전동,4,2
달서구,죽전동,22,2
달서구,성당동,7,2
달서구,본리동,8,2
달서구,죽전동,2,2
달서구,호림동,132,3
달서구,대천동,28,3
달서구,갈산동,23,3
달서구,갈산동,11,3
달서구,성당동,20,2
달서구,성당동,17,3
달서구,성당동,21,3
달서구,성당동,61,2
달서구,용산동,13,2
달서구,용산동,35,2
달서구,죽전동,16,2
달서구,죽전동,11,2
달서구,성당동,6,2
달서구,본리동,11,2
달서구,두류동,29,2
달서구,상인동,5,2
달서구,상인동,36,2
달서구,진천동,2,2
달서구,상인동,26,2
달서구,신당동,25,2
달서구,이곡동,64,2
달서구,성당동,19,2
달서구,성당동,16,2
달서구,월암동,4,3
달서구,월암동,5,3
달서구,월암동,17,3
달서구,월암동,3,3
달서구,갈산동,12,3
달서구,월암동,15,3
달서구,월암동,18,3
달서구,월암동,50,3
달서구,월암동,30,3
달서구,갈산동,169,3
달서구,갈산동,29,3
달서구,신당동,149,3
달서구,월암동,6,3
달서구,월암동,65,3
달서구,장동,188,3
달서구,갈산동,32,3
달서구,신당동,185,3
달서구,성당동,172,2
달서구,송현동,3,2
달서구,송현동,2,3
달서구,송현동,6,2
달서구,신당동,68,2
달서구,신당동,14,2
달서구,신당동,16,2
달서구,송현동,9,2
달서구,송현동,16,2
달서구,송현동,38,2
달서구,송현동,4,2
달서구,이곡동,65,2
달서구,두류동,4,2
달서구,두류동,13,2
달서구,두류동,27,2
달서구,죽전동,3,2
달서구,죽전동,7,2
달서구,용산동,74,2
달서구,용산동,14,2
달서구,성당동,5,2
달서구,성당동,22,2
달서구,도원동,68,3
달서구,상인동,15,2
달서구,송현동,13,3
달서구,송현동,11,2
달서구,송현동,8,2
달서구,송현동,14,2
달서구,송현동,3,3
달서구,송현동,17,2
달서구,송현동,22,2
달서구,감삼동,6,2
달서구,감삼동,17,2
달서구,죽전동,24,2
달서구,송현동,40,2
달서구,월성동,18,2
달서구,상인동,23,2
달서구,파호동,55,3
달서구,도원동,13,3
달서구,신당동,84,3
달성군,화원읍,29,3
달성군,화원읍,72,3
달성군,화원읍,20,3
달성군,화원읍,45,3
달성군,화원읍,58,3
달성군,화원읍,14,3
달성군,화원읍,15,3
달성군,화원읍,23,3
달성군,화원읍,2,3
달성군,화원읍,34,3
달성군,화원읍,118,3
달성군,논공읍,14,3
달성군,논공읍,113,3
달성군,논공읍,19,3
달성군,논공읍,34,3
달성군,논공읍,26,3
달성군,논공읍,48,3
달성군,논공읍,147,3
달성군,논공읍,85,3
달성군,논공읍,170,3
달성군,논공읍,42,3
달성군,논공읍,101,3
달성군,논공읍,88,3
달성군,논공읍,192,3
달성군,논공읍,82,3
달성군,화원읍,25,3
달성군,논공읍,8,3
달성군,논공읍,103,3
달성군,논공읍,28,3
달성군,논공읍,63,3
달성군,논공읍,558,3
달성군,논공읍,60,3
달성군,논공읍,13,3
달성군,논공읍,9,3
달성군,논공읍,45,3
달성군,다사읍,12,3
달성군,옥포면,38,3
달성군,옥포면,23,3
달성군,현풍면,7,3
달성군,현풍면,74,3
달성군,현풍면,160,3
달성군,현풍면,81,3
달성군,구지면,25,3
달성군,구지면,15,3
달성군,유곡리,14,3
달성군,현풍면,50,3
달성군,유가읍,385,3
달성군,구지면,20,3
달성군,구지면,14,3
달성군,유가읍,65,3
달성군,논공읍,87,3
달성군,화원읍,95,3
달성군,옥포면,50,3
달성군,가창면,100,3
달성군,가창면,20,3
달성군,화원읍,30,3
달성군,다사읍,72,3
달성군,하빈면,25,3
달성군,현풍면,18,3
동구,신암동,55,2
동구,신암동,61,2
동구,신암동,45,2
동구,신천동,36,1
동구,신천동,61,1
동구,신천동,20,1
동구,신천동,25,1
동구,신천동,29,1
동구,신천동,28,1
동구,지저동,89,3
동구,지저동,186,3
동구,신천동,27,1
동구,신천동,42,1
동구,신천동,78,1
동구,율하동,30,3
동구,신암동,63,2
동구,신천동,37,1
동구,방촌동,49,3
동구,방촌동,21,3
동구,율암동,31,3
동구,불로동,49,3
동구,지저동,40,3
동구,신기동,52,3
동구,효목동,44,2
동구,동호동,30,3
동구,신암동,36,1
동구,신천동,89,1
동구,율하동,45,3
동구,율하동,31,3
동구,율하동,38,3
동구,불로동,16,3
동구,도동,31,3
동구,도동,28,3
동구,신기동,72,3
동구,미대동,22,3
북구,칠성동,50,1
북구,복현동,18,2
북구,동천동,52,3
북구,구암동,16,3
북구,칠성동,40,1
북구,노원동,34,3
북구,관음동,169,2
북구,관음동,6,2
북구,관음동,12,2
북구,노원동,25,2
북구,읍내동,15,2
북구,칠성동,31,1
북구,읍내동,48,2
북구,구암동,46,3
북구,노곡동,200,3
북구,노원동,82,1
북구,칠성동,10,1
북구,노원동,10,2
북구,칠성동,24,1
북구,칠성동,9,1
북구,노원동,28,2
북구,대현동,18,1
북구,노원동,24,3
북구,노원동,25,1
북구,동변동,53,3
북구,노원동,18,2
북구,동천동,50,3
북구,동천동,25,3
북구,산격동,123,3
북구,동호동,10,3
북구,노원동,16,2
북구,노원동,6,3
북구,노원동,329,3
북구,검단동,29,3
북구,복현동,78,2
북구,복현동,5,2
북구,복현동,8,2
북구,대현동,33,2
북구,대현동,19,2
북구,산격동,46,2
북구,복현동,15,2
북구,복현동,17,2
북구,복현동,92,2
북구,고성동,9,1
북구,고성동,57,1
북구,고성동,15,1
북구,고성동,65,1
북구,고성동,87,1
북구,읍내동,27,2
북구,관음동,43,2
북구,관음동,8,2
북구,읍내동,9,2
북구,관음동,26,2
북구,관음동,75,2
북구,칠성동,61,1
북구,고성동,71,1
북구,칠성동,6,1
북구,고성동,102,1
북구,칠성동,30,1
북구,침산동,32,1
북구,침산동,76,1
북구,칠성동,37,1
북구,칠성동,39,1
북구,칠성동,16,1
북구,칠성동,7,1
북구,침산동,14,2
북구,침산동,18,2
북구,침산동,10,2
북구,침산동,4,2
북구,침산동,7,2
북구,침산동,3,2
북구,관음동,11,2
북구,관음동,62,2
북구,읍내동,43,2
북구,태전동,20,2
북구,읍내동,37,2
북구,구암동,40,3
북구,노곡동,20,3
북구,침산동,22,3
북구,노원동,11,2
북구,노원동,37,2
북구,노원동,136,2
북구,노원동,3,2
북구,노원동,37,3
북구,노원동,41,3
북구,침산동,12,2
북구,노원동,58,3
북구,노원동,14,2
북구,노원동,40,2
북구,노원동,38,3
북구,노원동,41,2
북구,칠성동,23,1
북구,관음동,60,2
북구,산격동,14,2
북구,산격동,17,2
북구,산격동,41,2
북구,산격동,5,2
북구,산격동,8,2
북구,산격동,12,2
북구,산격동,13,2
북구,산격동,14,3
북구,읍내동,7,2
북구,읍내동,28,2
북구,산격동,3,2
북구,산격동,2,2
북구,산격동,19,2
북구,산격동,10,2
북구,산격동,33,2
북구,대현동,15,1
북구,대현동,14,1
북구,대현동,5,1
북구,대현동,14,2
북구,대현동,80,2
북구,대현동,30,2
북구,대현동,9,2
북구,대현동,38,2
북구,대현동,31,2
북구,산격동,17,3
북구,복현동,10,2
북구,복현동,37,3
북구,복현동,10,3
북구,복현동,39,3
북구,읍내동,47,3
북구,구암동,19,3
북구,침산동,56,2
북구,침산동,23,3
북구,복현동,14,3
북구,침산동,39,1
북구,침산동,16,2
북구,산격동,7,2
북구,산격동,15,2
북구,산격동,24,2
북구,침산동,134,2
북구,고성동,59,1
북구,칠성동,27,1
북구,칠성동,46,1
북구,대현동,11,1
북구,대현동,12,1
북구,산격동,16,2
북구,산격동,4,2
북구,산격동,34,2
북구,산격동,48,2
북구,태전동,8,2
북구,노원동,13,2
북구,노원동,12,2
북구,침산동,39,2
북구,노원동,19,2
북구,노원동,135,2
북구,노원동,10,1
북구,노원동,28,1
북구,고성동,25,1
북구,노원동,12,1
북구,노원동,4,1
북구,노원동,31,1
북구,산격동,42,3
북구,칠성동,17,1
북구,침산동,19,1
북구,침산동,7,1
북구,읍내동,75,2
북구,태전동,15,2
북구,태전동,73,2
북구,태전동,30,2
북구,읍내동,39,2
북구,관음동,17,2
북구,읍내동,56,2
북구,칠성동,8,1
북구,대현동,10,1
북구,침산동,30,1
북구,침산동,33,1
북구,칠성동,5,1
북구,대현동,13,2
북구,복현동,8,3
북구,산격동,110,3
북구,읍내동,24,2
북구,산격동,43,2
북구,산격동,51,2
북구,산격동,112,3
북구,서변동,91,3
북구,서변동,95,3
북구,산격동,105,3
북구,동천동,22,3
북구,산격동,52,2
북구,동천동,14,3
북구,칠성동,62,1
북구,산격동,58,3
북구,칠성동,437,1
북구,서변동,13,3
북구,노원동,17,2
북구,칠성동,21,1
북구,노원동,4,2
북구,산격동,29,3
북구,읍내동,10,3
북구,구암동,338,3
북구,관음동,120,3
북구,복현동,23,2
북구,침산동,17,2
북구,팔달동,17,3
북구,산격동,107,3
북구,산격동,104,3
북구,조야동,74,3
북구,노원동,20,2
북구,칠성동,165,1
북구,칠성동,19,1
북구,태전동,11,3
북구,동천동,44,3
북구,노원동,164,2
북구,산격동,66,3
북구,노원동,23,3
북구,침산동,8,1
북구,관음동,44,2
북구,동천동,18,3
북구,산격동,11,3
북구,구암동,39,3
북구,태전동,49,2
북구,태전동,25,2
북구,태전동,31,2
북구,태전동,41,2
북구,태전동,33,2
북구,태전동,42,2
북구,읍내동,35,2
북구,태전동,52,2
북구,노원동2가,27,2
북구,노원동2가,90,2
북구,노원동,21,3
북구,노원동,68,3
북구,노원동,100,3
북구,노원동,16,3
북구,구암동,30,3
북구,노원동,43,2
서구,비산동,504,3
서구,평리동,62,2
서구,비산동,57,1
서구,중리동,47,3
서구,내당동,51,2
서구,내당동,31,2
서구,내당동,150,2
서구,내당동,76,2
서구,내당동,30,2
서구,내당동,73,2
서구,내당동,95,2
서구,내당동,38,2
서구,내당동,54,2
서구,내당동,33,2
서구,내당동,77,2
서구,내당동,58,2
서구,내당동,47,2
서구,내당동,41,2
서구,내당동,28,2
서구,비산동,13,2
서구,비산동,42,1
서구,비산동,16,1
서구,내당동,45,2
서구,비산동,30,2
서구,비산동,24,1
서구,비산동,19,2
서구,비산동,17,2
서구,비산동,33,2
서구,비산동,11,2
서구,비산동,104,2
서구,비산동,9,2
서구,비산동,103,2
서구,비산동,10,2
서구,비산동,37,2
서구,비산동,14,2
서구,비산동,26,2
서구,비산동,58,1
서구,비산동,160,2
서구,비산동,74,3
서구,비산동,39,2
서구,비산동,16,2
서구,비산동,52,3
서구,비산동,82,3
서구,비산동,12,3
서구,비산동,16,3
서구,비산동,110,3
서구,비산동,96,3
서구,비산동,107,3
서구,비산동,109,3
서구,비산동,121,3
서구,비산동,55,3
서구,비산동,34,2
서구,비산동,25,2
서구,비산동,159,2
서구,비산동,53,2
서구,비산동,68,2
서구,상리동,16,3
서구,상리동,52,3
서구,상리동,21,3
서구,상리동,3,3
서구,원대동,24,1
서구,원대동,43,1
서구,원대동,15,1
서구,원대동,53,3
서구,이현동,44,3
서구,중리동,68,3
서구,중리동,186,3
서구,중리동,37,3
서구,중리동,61,3
서구,중리동,19,3
서구,중리동,25,3
서구,중리동,28,3
서구,중리동,29,3
서구,중리동,36,3
서구,중리동,89,3
서구,평리동,39,3
서구,평리동,17,3
서구,평리동,44,3
서구,평리동,24,3
서구,평리동,25,3
서구,평리동,90,3
서구,평리동,97,3
서구,평리동,43,2
서구,평리동,35,2
서구,평리동,22,3
서구,평리동,30,3
서구,평리동,25,2
서구,평리동,67,2
서구,평리동,21,2
서구,평리동,75,2
서구,평리동,24,2
서구,비산동,22,2
서구,내당4,20,2
서구,비산동,26,1
서구,내당동,32,2
서구,비산동,46,2
서구,평리동,37,2
서구,평리동,32,2
서구,원대동,23,2
수성구,황금동,195,2
수성구,지산동,132,3
수성구,매호동,143,2
수성구,신매동,42,2
수성구,신매동,62,2
수성구,노변동,70,2
수성구,삼덕동,643,3
수성구,범어동,113,1
수성구,중동,35,2
수성구,노변동,64,3
수성구,만촌동,5,3
수성구,만촌동,10,3
수성구,만촌동,17,3
수성구,황금동,22,2
수성구,황금동,28,3
수성구,범어동,62,2
수성구,지산동,51,3
수성구,욱수동,224,3
수성구,신매동,49,3
수성구,수성동,108,1
수성구,범어동,98,2
수성구,황금동,125,2
수성구,범어동,31,1
수성구,범어동,72,2
수성구,이천동,26,3
중구,전동,16,1
중구,동인동,15,1
중구,대신동,14,1
중구,태평로,10,1
중구,삼덕동,18,1
중구,도원동,30,1
중구,향촌동,50,1
중구,삼덕동,45,1
중구,봉산동,13,1
중구,남성로,12,1
중구,교동,30,1
중구,동인동,20,1
중구,계산동,16,1
중구,남산동,26,1
중구,공평동,11,1
중구,동인동,8,1
중구,북성로,63,1
중구,동인동,27,1
중구,문화동,50,1
중구,삼덕동,10,1
중구,태평로,20,1
중구,동성로,75,1
중구,삼덕동,15,1
중구,삼덕동,20,1
중구,대봉동,8,1
중구,북내동,15,1
중구,동인동,30,1
중구,시장북,19,1
중구,삼덕동,21,1
중구,달성동,96,1
중구,남산동,16,1
중구,남산동,61,1
중구,동인동,57,1
중구,태평로,45,1
중구,수창동,29,1
중구,남산동,33,1
중구,남산동,39,1
중구,봉산동,134,1
중구,대봉동,57,1
중구,삼덕동,38,1
중구,계산동,61,1
중구,태평로,58,1
중구,대봉동,24,1
중구,달성동,106,1
중구,남성로,26,1
중구,동인동,25,1
중구,태평로,48,1
중구,교동,208,1
중구,남산동,35,1
중구,대봉동,81,1
중구,화전동,11,1
중구,삼덕동,88,1
중구,봉산동,12,1
중구,대신동,10,1
중구,계산동,300,1
중구,대신동,78,1
중구,남산동,25,1
중구,대신동,200,1
중구,수창동,10,1
중구,대신동,50,1
중구,공평동,305,1
중구,문화동,32,1
중구,포정동,55,1
중구,수동,11,1
중구,삼덕동,17,1
중구,동성로,5,1
중구,태평로,30,1
중구,북성로,30,1
중구,장관동,7,1
중구,수동,38,1
중구,대신동,22,1
중구,시장북,30,1
중구,전동,35,1
중구,남일동,60,1
중구,포정동,42,1
중구,수창동,12,1
중구,종로1,30,1
중구,대신동,17,1
중구,봉산동,18,1
중구,문화동,60,1
중구,문화동,26,1
중구,종로2,20,1
중구,향촌동,30,1
중구,동산동,25,1
중구,동일동,30,1
중구,인교동,46,1
중구,서문로,18,1
중구,대안동,38,1
중구,삼덕동,13,1
중구,봉산동,64,1
중구,서성로,20,1
중구,남산동,40,1
중구,삼덕동,40,1
중구,수창동,42,1
중구,봉산동,75,1
중구,삼덕동,170,1
중구,종로2,282,1
중구,달성동,11,1
중구,포정동,20,1
중구,동인동,10,1
중구,삼덕동,129,1
중구,대봉동,17,1
중구,동산동,41,1
중구,동인동,17,1
중구,동성로,73,1
중구,남산동,8,1
중구,동인동,50,1
중구,대신동,32,1
중구,동문동,20,1
중구,삼덕동,14,1
중구,태평로,22,1
중구,봉산동,25,1
중구,동일동,20,1
중구,대안동,18,1
중구,삼덕동,75,1
중구,삼덕동,35,1
중구,동인동,93,1
중구,인교동,30,1
중구,삼덕동,12,1
중구,북성로,26,1
중구,삼덕동,37,1
중구,서문로,28,1
중구,상서동,50,1
중구,장관동,23,1
중구,서야동,30,1
중구,삼덕동,7,1
중구,대신동,25,1
중구,수창동,15,1
중구,동문동,100,1
중구,북성로,50,1
중구,대안동,35,1
중구,남일동,50,1
중구,달성동,30,1
중구,남산동,32,1
중구,동문동,10,1
중구,봉산동,17,1
중구,공평동,50,1
중구,대신동,42,1
중구,인교동,18,1
중구,서문로,14,1
중구,종로2,15,1
중구,북성로,11,1
중구,삼덕동,42,1
중구,동산동,30,1
중구,완전동,20,1
중구,공평동,297,1
중구,서야동,10,1
중구,포정동,10,1
중구,북성로,24,1
중구,종로2,43,1
중구,동인동,36,1
중구,봉산동,20,1
중구,동산동,194,1
